Included	Cycle	Curve	Y-Axis (stability_early)	X-Axis (Cycle number)	Ligand	Curve Marker	Sample
Yes	197	Fc1:2 - 3	-3.5	197	Ag124 IgV		428_B1_1_01_A02
Yes	197	Fc2:1 - 3	-3.9	197	Ag124-Fc		428_B1_1_01_B02
Yes	197	Fc2:2 - 3	5.9	197	Ag124 IgV		428_B1_1_01_B02
Yes	197	Fc3:1 - 3	-1.3	197	Ag124-Fc		428_B1_1_01_C02
Yes	197	Fc3:2 - 3	7.5	197	Ag124 IgV		428_B1_1_01_C02
Yes	197	Fc4:1 - 3	-4.7	197	Ag124-Fc		428_B1_1_01_D02
Yes	197	Fc4:2 - 3	5.0	197	Ag124 IgV		428_B1_1_01_D02
Yes	198	Fc1:1 - 3	-3.9	198	Ag124-Fc		428_B1_1_01_A03
Yes	198	Fc1:2 - 3	5.1	198	Ag124 IgV		428_B1_1_01_A03
Yes	198	Fc2:1 - 3	-2.2	198	Ag124-Fc		428_B1_1_01_B03
Yes	198	Fc2:2 - 3	9.9	198	Ag124 IgV		428_B1_1_01_B03
Yes	198	Fc3:1 - 3	-2.8	198	Ag124-Fc		428_B1_1_01_C03
Yes	198	Fc3:2 - 3	8.2	198	Ag124 IgV		428_B1_1_01_C03
Yes	198	Fc4:1 - 3	-4.3	198	Ag124-Fc		428_B1_1_01_D03
Yes	198	Fc4:2 - 3	6.4	198	Ag124 IgV		428_B1_1_01_D03
Yes	199	Fc1:1 - 3	-2.5	199	Ag124-Fc		428_B1_1_01_A04
Yes	199	Fc1:2 - 3	7.7	199	Ag124 IgV		428_B1_1_01_A04
Yes	199	Fc2:1 - 3	-2.5	199	Ag124-Fc		428_B1_1_01_B04
Yes	199	Fc2:2 - 3	11.3	199	Ag124 IgV		428_B1_1_01_B04
Yes	199	Fc3:1 - 3	-1.1	199	Ag124-Fc		428_B1_1_01_C04
Yes	199	Fc3:2 - 3	11.3	199	Ag124 IgV		428_B1_1_01_C04
